"filename", "language", "Batch", "Groovy", "XML", "C++", "Properties", "Java", "Markdown", "cmake", "CMake Cache", "Log", "C", "JSON", "comment", "blank", "total"
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\lat\kaldi-lattice.cc", "C++", 0, 0, 0, 397, 0, 0, 0, 0, 0, 0, 0, 0, 75, 35, 507
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\lat\kaldi-lattice.h", "C++", 0, 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 41, 43, 157
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\lat\lattice-functions.cc", "C++", 0, 0, 0, 76, 0, 0, 0, 0, 0, 0, 0, 0, 1903, 14, 1993
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\lat\lattice-functions.h", "C++", 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 431, 13, 456
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\lm\arpa-file-parser.cc", "C++", 0, 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 33, 37, 280
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\lm\arpa-file-parser.h", "C++", 0, 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 0, 58, 28, 150
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\lm\arpa-lm-compiler.cc", "C++", 0, 0, 0, 233, 0, 0, 0, 0, 0, 0, 0, 0, 109, 40, 382
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\lm\arpa-lm-compiler.h", "C++", 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 20, 15, 64
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\lmbin\arpa2fst.cc", "C++", 0, 0, 0, 98, 0, 0, 0, 0, 0, 0, 0, 0, 28, 20, 146
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\basic-filebuf.h", "C++", 0, 0, 0, 659, 0, 0, 0, 0, 0, 0, 0, 0, 257, 37, 953
"e:\share_data\androidProject\YuYinDemo\app\src\main\cpp\kaldi\util\const-integer-set-inl.h", "C++", 0, 0, 0, 57, 0, 0, 0, 0, 0, 0, 0, 0, 19, 12, 88
